peak.id	CRX_Corbo	N50	HDmono	HDdimer	NRL	AP1
peak.1222	2	0	2	0	0	0
peak.1223	2	1	1	1	2	2
peak.1224	1	0	2	0	2	1
peak.1225	2	1	1	0	1	1
peak.1226	2	1	2	0	1	1
peak.1227	2	0	2	0	1	0
peak.1228	3	6	1	0	1	1
peak.1229	1	0	2	0	1	1
peak.123	0	0	0	0	0	0
peak.1230	1	0	1	0	0	1
peak.1231	0	0	0	0	0	1
peak.1232	1	0	1	0	0	0
peak.1233	2	1	1	0	2	0
peak.1234	2	0	2	0	0	0
peak.1235	2	0	2	0	0	0
peak.1236	1	0	2	0	1	0
peak.1237	3	0	1	0	0	0
peak.1238	1	0	2	0	0	1
peak.1239	0	0	0	0	0	2
peak.124	1	0	1	0	0	2
peak.1240	0	0	0	0	2	0
peak.1241	4	1	2	0	2	1
peak.1242	0	0	0	0	1	0
peak.1243	2	0	3	0	2	2
peak.1244	1	0	1	0	0	0
peak.1245	0	1	0	0	1	1
peak.1246	0	0	0	0	0	0
peak.1247	1	0	1	1	0	0
peak.1248	0	0	0	0	1	1
peak.1249	0	0	0	0	0	0
peak.125	2	0	1	1	0	0
peak.1250	2	0	2	0	1	0
peak.1251	1	0	1	0	3	1
peak.1252	3	0	2	0	0	2
peak.1253	3	0	1	0	1	0
peak.1254	2	1	1	0	0	2
peak.1255	0	0	0	0	0	0
peak.1256	1	1	2	0	2	1
peak.1257	3	0	3	0	0	0
peak.1258	2	0	2	0	0	2
peak.1259	2	2	4	0	3	0
peak.126	2	0	2	0	1	0
peak.1260	1	0	1	0	1	3
peak.1261	0	0	0	0	0	1
peak.1262	1	0	1	0	0	0
peak.1263	3	1	3	0	0	0
peak.1264	2	0	2	0	2	1
peak.1265	2	1	2	0	0	2
peak.1266	2	0	3	0	2	0
peak.1267	1	1	0	0	0	1
peak.1268	0	0	0	0	0	0
peak.1269	3	1	2	0	0	2
peak.127	2	0	2	0	1	0
peak.1270	3	0	3	0	0	0
peak.1271	0	1	0	0	1	0
peak.1272	2	0	1	0	0	0
peak.1273	2	1	2	0	1	1
peak.1274	0	0	0	0	1	0
peak.1275	3	0	2	1	1	0
peak.1276	3	0	3	0	0	2
peak.1277	2	2	1	1	0	1
peak.1278	2	0	2	0	0	0
peak.1279	2	0	2	0	0	2
peak.128	4	0	3	0	0	0
peak.1280	3	0	3	0	1	0
peak.1281	1	0	1	1	1	1
peak.1282	1	0	1	0	0	2
peak.1283	3	2	3	0	2	0
peak.1284	1	0	1	1	0	0
peak.1285	2	0	1	1	0	0
peak.1286	3	0	3	0	2	1
peak.1287	1	0	1	0	2	1
