label	wt_olap.DREME.1	e80a_olap.DREME.1	k88n_olap.MEME.2	k88n_olap.DREME.1	k88n_gain.MEME.1	e80a_loss.MEME.3	CRX_Corbo	Crx.MA0467.1	NRL.MA0842.2	FOS::JUN.MA0099.2	Lee_2010_CRX
peak.58	0.5058819680239341	0.5249791878567842	3.022014274776333e-14	8.363943607533161e-20	3.262304824423127e-12	5.437922993955267e-06	0.36189578215462154	1.1213858198584506e-07	1.1204204818919481e-19	2.478084471034882e-07	0.5315077253472724
peak.59	1.4425101701313597e-10	1.4207262895939235e-10	3.0169690169872405e-21	0.2797432069468894	8.48261658070365e-21	9.037504943172863e-11	0.012072669942721312	1.4449165001821907e-08	9.104827060091025e-16	2.4941294761082774e-05	0.07569536187372188
peak.60	2.0849896608433555e-10	1.5889988684451854e-10	6.589952918307292e-18	1.3410627350470219e-10	1.0974611474053947e-22	5.987645485655096e-10	0.003890242768042742	1.66336294596901e-14	1.834181658489688e-19	1.9736672092356556e-07	0.02254450122808785
peak.61	8.744690133020901e-10	5.583497537463154e-10	6.377945440648072e-10	1.2107665370983655e-10	5.763426689807835e-06	6.724068914145701e-07	0.01953475561770706	9.695256645666714e-08	1.3943900865186361e-14	2.6175349239325452e-06	0.10316182528943811
peak.62	3.60783886739981e-10	3.079028714469504e-10	2.492398439485165e-10	0.2797432067357086	1.3493721628721105e-13	0.050291725160349195	0.012943527456996583	6.235892219986603e-05	4.872333186810645e-12	4.3321731857618705e-05	0.08911098442958594
peak.63	1.0117639355979098	1.0499583751872175	1.7793903556259245e-08	8.323039426329422e-10	5.7736065962621244e-12	0.00013169919871361936	0.748897543217211	0.0005100774451445206	5.069146281364551e-12	1.024663315175931e-05	0.9022317362875056
peak.64	1.8116184669593782e-19	1.6083088558805745e-19	1.4919733289143244e-31	1.968180061924113e-11	2.7485793380753455e-27	1.5616372108201935e-16	2.762205194155137e-05	5.2185587799203215e-14	5.149016456142267e-23	5.200315541457254e-05	0.0011975970528145222
peak.65	0.5249791877372796	0.48962772609969424	8.273793423601505e-09	3.271513543073177e-10	1.0130953608353446e-09	9.893201881127917e-08	0.20430135906757393	1.3267171110339362e-06	2.146544184961593e-19	0.0009001969804743233	0.37694597417371867
peak.66	0.12944341851764096	0.08251705978349964	1.501802830265706e-20	1.7708104584116955e-10	1.7738258965245472e-23	7.606897529954788e-18	0.41596762416304445	4.7058774774522975e-08	5.959692639157427e-20	4.93173138441181e-08	0.5178946408718943
peak.67	0.5058819678120715	0.524979187655534	2.670970024334731e-21	1.237117029687477e-19	1.7912469576729493e-20	5.555018432088015e-14	0.2430076534524993	2.0506210885197928e-07	5.220073391411974e-18	1.0981285326071579e-08	0.4161582887932612
peak.68	0.2056413348428718	0.11429919999642577	7.616623152991235e-14	8.510070189657236e-11	2.1930400117903137e-21	1.573486692313077e-07	0.11223108264684868	9.278843664322842e-07	3.1911164592846196e-20	3.393753436693935e-06	0.34096968744808726
peak.69	0.3800644107949187	0.2593367336368539	3.898438197538523e-07	4.255035111366636e-11	2.70409932553695e-07	0.2883994454896989	0.04261937952141687	0.0648369948054754	2.120871314584536e-11	0.001148343007702519	0.172043714069413
peak.70	1.04995837495788	0.9792554516983515	2.9116403915819065e-16	4.712939145680562e-11	3.7257519421907525e-12	3.149797626659148e-14	0.23817178875543316	2.074925152980825e-09	3.835947318298752e-22	8.418868666080859e-11	0.5107572991956381
peak.71	0.36221901719957406	0.2874249013952181	2.2172543358178293e-06	2.847036577482949e-10	5.744016568096941e-08	0.0003615660322279864	0.023036694775448393	1.5559593140895068e-07	4.333315272392454e-13	0.02007363473391038	0.10138333334412897
peak.72	1.5214901874168974e-10	1.2732575477720885e-10	3.863085493835522e-20	6.223215153843056e-11	6.73535563418472e-21	8.497815022793912e-12	0.002276971547664165	2.0359988271515625e-08	2.7110717783814197e-18	0.006811664843484084	0.025648329117192482
peak.73	4.0061568686194413e-10	3.955383008091502e-10	1.9669395949082403e-19	7.67424549236189e-10	5.944303327766787e-18	3.350980114495472e-14	0.007715531027110877	7.490981291777033e-11	1.2275605187244269e-19	2.2866144744518845e-10	0.055132574886942495
peak.74	4.5148882515362346e-10	4.335703376899671e-10	6.433382292297343e-21	2.3724005691714233e-10	2.6279853226153596e-21	1.4063344193870956e-08	0.01425197239126099	2.2533733465148506e-07	1.6017170826284677e-14	2.9183676324466353e-09	0.08122665956520372
peak.75	1.2123792385315845e-09	1.0738139452104022e-09	4.1109062479577615e-18	5.233954728260575e-10	2.4153643373740942e-17	3.9927552404115555e-12	0.21750416468613484	1.5155818452673894e-07	2.281013794596421e-14	5.9498591011444366e-05	0.37713182001571427
peak.76	0.4384169334187502	0.3192070415066287	2.983400054187041e-14	6.22321517788568e-11	4.680433741624599e-16	1.948012460091411e-08	0.09248750086216165	5.55368796435136e-10	1.4443323901104178e-15	0.00640352116667536	0.3121201031867651
peak.77	0.07619791635341833	0.03178214024950005	1.1317409433210803e-20	7.632699303066994e-10	4.38965251728727e-19	5.591939590370953e-07	0.03183409980316505	5.511540479436141e-09	6.152408017107311e-16	0.0011476588487425543	0.14613297573629302
peak.78	0.5058819692291637	0.5249791888692068	5.046060935734486e-11	5.763499541657527e-10	4.764215705928237e-14	0.00047675097098217765	0.33627387757441013	0.00023871542103282183	6.365795563118442e-11	0.0023351391894022772	0.6361760766576994
peak.79	1.0499583753603348	0.9792554520692653	2.599091796858498e-06	4.7129391430003806e-11	1.6342828499024358e-07	7.191618614100038e-10	0.4772751021898695	3.5658490168433406e-05	1.1801831804461396e-18	9.074308762053717e-06	0.7584499677678175
