label	CRX_Corbo	VSX2.MA0726.1	RAX2.MA0717.1	VSX2_e14.5.MEME-1	E80A_atacLost.MEME-19	K88N_atacGain.STREME-1	K88N_chipGain.MEME.1	RORB_HUMAN.MA1150.1	NRL_HUMAN.MA0842.1	Nr2e3_MOUSE.MA0164.1	GFI1_MOUSE.H11MO.0.C	PRDM1.MA0508.2	PRDM1.MA0508.3	NEUROD1_HUMAN.MA1109.1	ASCL1_HUMAN.MA1100.1	ATOH7_HUMAN.MA1468.1	Bhlhe40_MOUSE.MA0464.1
peak.11	0.0008223782979654649	0.5257671127307272	0.30275722576183606	1.2430355079387796e-05	7.832311497480264e-12	2.963283383198411e-07	5.951528618872206e-13	1.148479968614628e-06	7.0114833401430066e-09	4.165184859543922e-15	1.8068721785165922e-12	1.5946215077821275e-11	7.044696937549892e-06	4.910298038797023e-12	9.830478213817932e-12	2.9805644400857535e-17	3.2737380467632017e-25
peak.12	0.010797219410005708	3.847983776158034e-10	4.3529669228178595e-07	6.732285546833654e-18	7.339222758697575e-13	1.4991128264424894e-14	1.9905982802386964e-19	1.1003170463883858e-07	5.86614789958287e-05	6.338408041837063e-14	2.614533138171594e-07	2.0178701807754278e-17	3.5265238716907627e-10	0.009385885506513083	0.00013157296372892776	2.015108241979413e-05	1.274463033503945e-09
peak.13	5.120636299323837e-05	2.0597251197426773e-08	4.672888574782923e-07	9.570658462045344e-23	4.96477702350032e-12	1.2644167388075075e-14	4.0456528660188825e-20	6.0896044770209206e-12	1.011298864125716e-08	6.338406219006007e-14	1.2847423779197727e-14	3.117114835177344e-13	1.6639153903478972e-06	2.59922452792902e-11	3.2264240437656503e-10	4.013472801095704e-11	8.779820171777711e-17
peak.14	0.0036704646982082803	9.988755864446406e-05	0.0005963705391462403	2.5266327804661143e-15	7.316946059257681e-14	9.929375362268633e-14	9.643155400009896e-19	4.797221483928586e-10	5.743786176316182e-09	1.768814449048902e-11	4.367755899698219e-13	1.394386478316909e-12	4.886022556202571e-10	1.8863967827126433e-10	1.7279116249774395e-09	6.708521599197759e-12	6.525340876092064e-18
peak.15	0.03616089418637187	2.448926113263408e-07	2.5915547932643826e-05	2.973329401920782e-14	3.889239384400242e-05	1.2623067208892068e-09	1.4692919374351633e-09	6.353963552630837e-07	1.3359337790755467e-06	1.5120940949135462e-10	0.004628986323202858	1.1771781928177106e-10	1.209503545355656e-11	9.31673499546309e-13	1.6746307505788278e-18	5.742900978297286e-11	7.359023400233838e-15
peak.16	0.10136638170492054	2.990318090450611e-07	8.190243592806177e-05	5.3769155478439464e-14	8.842754651862595e-17	2.78556098103061e-18	5.947892059982058e-23	6.30445382554424e-11	8.120174665583949e-10	5.589019975659051e-20	1.0862332548916035e-08	1.850410239097176e-15	6.167551762746218e-10	2.0690476152916505e-10	9.893632366990314e-08	3.653600493555903e-06	1.222065675761735e-12
peak.17	0.10559206052350595	0.00024396699929780363	0.006609389768059062	6.249606685543049e-11	0.05053041172213571	0.026576516883837387	1.3996653963958613e-05	0.00018358013704661627	1.5654295705820287e-06	1.5990483897658375e-10	2.4084363825268153e-06	1.7861046111897653e-13	1.3027048742717681e-09	2.5305594382254715e-10	2.655187988435079e-09	4.4745247176687677e-13	1.610400506062868e-14
peak.18	1.4448650127415785e-06	9.144246745894349e-08	2.497159760894607e-07	2.16058636659036e-14	1.3494048295072172e-22	2.737766872761241e-16	1.5590130908495326e-22	1.5449416795405538e-09	1.1503298344952704e-06	1.3593702042379853e-10	7.172895499754393e-15	5.173118301675879e-14	2.2432234961888594e-08	1.2647439379930292e-08	7.410411810014878e-10	3.122747923779058e-08	9.739359032043993e-12
peak.19	0.00767189429882195	0.5254827377262158	0.16211491572721795	0.0007063805567527242	0.044557622494736715	3.3427578355271457e-07	4.944501017730907e-14	3.6015740071250565e-08	6.217606245546166e-05	1.6971705807963494e-11	2.48805324399009e-07	0.002914409264146422	1.4843810510935677e-05	3.709648821849539e-08	2.4410034887341955e-09	1.2084854320877345e-05	1.654069084649594e-12
peak.20	0.0008292143207142718	1.197290366790861e-08	5.421009321334588e-07	9.236704086968139e-14	3.6047106441247887e-17	1.521794896702829e-14	1.7164500525401328e-19	9.97197866693596e-07	1.833218154779475e-05	1.4942437954961616e-10	1.9502714601863862e-06	3.672385627158819e-12	6.663999382481829e-11	0.061304696556910995	0.0001322298379965113	0.0003641910926582341	1.6456692551915379e-07
