label	CRX_Corbo	VSX2.MA0726.1	RAX2.MA0717.1	VSX2_e14.5.MEME-1	E80A_atacLost.MEME-19	K88N_atacGain.STREME-1	K88N_chipGain.MEME.1	RORB_HUMAN.MA1150.1	NRL_HUMAN.MA0842.1	Nr2e3_MOUSE.MA0164.1	GFI1_MOUSE.H11MO.0.C	PRDM1.MA0508.2	PRDM1.MA0508.3	NEUROD1_HUMAN.MA1109.1	ASCL1_HUMAN.MA1100.1	ATOH7_HUMAN.MA1468.1	Bhlhe40_MOUSE.MA0464.1
peak.22	3.1807135443089916	0.77711359460137	2.2689218330354564	0.0003113069913204575	1.3156471464975597e-09	3.224433126307275e-07	3.3066952953631465e-07	0.0001386484766926371	1.6529119186104058	3.486483145947613e-07	0.005775631616820946	1.5562047750063922e-12	3.9213617441430944e-07	2.3617663400108594e-08	7.701240930082338e-05	2.3488011001466613e-05	0.02831485348364093
peak.23	0.9201921897710582	0.0006030558162465193	0.04947001811320294	3.26405334492288e-09	1.3136473462889968e-12	3.7471470747096915e-14	1.566239443107902e-22	0.012479628446586647	0.011003633921021065	1.483784869137999e-16	0.0002222614971747223	9.933440214986439e-12	3.020718772639455e-06	0.007701525782151844	7.4230275586009986e-09	3.929295695623639e-09	2.4548679046555216e-10
peak.24	3.971848983740658	1.2193611648139593	3.5754225325785667	0.0795686011959061	0.0022367782054489986	2.998808947668823e-06	2.365679288345245e-11	1.0527873203300124e-05	1.0489374181343543	6.107682863001525e-11	0.13597740009076142	3.5636731594407166e-11	0.00623509431622574	8.163150707166168e-06	2.8602067184546417e-05	0.0011224438553014936	1.810819611608533e-09
peak.25	0.5753827192224243	0.02533298337859172	0.13851104663761837	1.2982810495608172e-10	7.602755057835405e-10	4.422971315401134e-08	3.4790692010693995e-12	0.00029610787864512637	0.0001917187634838295	2.324320469832123e-08	0.09622661416485828	1.0960790460059328e-06	2.8641790106104633e-08	0.0014794986907259876	1.0763590050832636e-06	3.115556133222161e-05	5.812410622989157e-18
peak.26	3.3058193961973674	0.0028361006300417803	0.4126309186183937	2.3276492716828952e-07	0.0004202742384293972	0.005888917331435711	2.076043571811498e-05	0.003719540830109677	0.02183661520711401	4.939762826989683e-16	0.03016494948868387	8.088825316604582e-14	0.0006297067042005714	0.040958586214570464	9.788803084095982e-06	1.0974753664170204e-05	4.566676721316237e-12
peak.27	4.212041695490727	0.0022633293006623263	0.36002201305303305	1.8474365902275527e-11	1.3433337430937633e-13	4.9520118433093876e-09	5.06805118589649e-13	6.438040744267085e-05	0.03483451465403536	1.0483700825410513e-06	0.4814771195999448	3.365321800786072e-08	2.9487032238087913e-08	2.971068715826168e-05	1.2111894822180374e-06	1.8580858999225115e-07	2.5629384228055052e-17
peak.28	6.45253479616329	1.4468382267748248	4.3368052463067475	1.657338627672345e-06	0.00017213537505431442	0.0005724476216573425	4.937230232987262e-08	1.0004433927552001	0.004893824275254522	1.9885742143050362	0.00016044206428106862	9.556890390465008e-07	2.216384663402668e-06	3.156576075009206e-07	5.683616667429313e-08	9.044831155616136e-07	8.918234832324269e-11
peak.29	0.8743898085764754	0.035691746267800785	0.4896159690171665	6.255070330731124e-10	0.24545548224077904	0.2690877067139547	1.0003096755569516	0.002058758060788346	0.8968365815030453	3.053849106953671e-11	1.0323485334393473e-12	1.1401180692449999e-09	1.638774577434885e-10	0.0014808986407106582	0.004019187133353617	7.321835860112797e-06	4.1746971523070375e-11
peak.30	1.3857036083314789	0.22455150055173642	2.3353796138781786	1.8768888908948193e-06	8.423936064698307e-08	5.918943747851466e-13	2.145862321627256e-11	0.00021679200085643043	0.1828705610428944	1.769240727486257e-07	0.259070706385443	1.7940793278441874e-08	1.0006931158935906e-05	0.0001900515810237064	0.00010869017666731595	0.00010207093236047985	1.7889897780679771e-16
peak.31	2.91385384172648	0.06273897867730098	0.1562388466793012	7.358295881883675e-10	2.4349857091616965e-09	1.281934636277322e-10	2.0891113785834988e-15	0.00902356117250052	0.0004635940209290836	0.043252023693181554	1.0422962015227951e-06	0.0005627428769844158	0.31303794126332035	0.21053076165597628	0.0001531199178903376	0.0023212434286153296	9.962985848194654e-11
peak.32	1.449291501114159	2.4663220184532344	3.607310861369676	0.9998766186851717	0.14075287877396406	0.006273132455940986	0.012200781263866662	1.0875038850788102e-05	0.007479424155376812	4.905985564531391e-07	0.030917869773320276	6.603274298479438e-12	1.3576252133565233e-05	5.720124215932242e-07	0.002360172508799086	2.824484856248652e-06	1.782619820664354e-17
peak.33	2.969718095634388	0.7874954026826536	0.08834886672614431	1.3737118872668612e-08	6.589400685546114e-10	3.6196786893861304e-12	4.7122177948387287e-20	0.01278538915350312	0.002012187001264989	1.989738025055654e-06	4.794860291958141e-06	1.4337872546885474e-06	0.000165854670836774	1.389340997826672e-05	0.12778199235772278	0.00012938463522318833	1.4690118169677911e-18
peak.34	3.7906634327680653	0.44320240688432394	2.500864468265664	2.1943752227903183e-09	1.091699310146979e-06	1.0165937882024466e-05	2.851384608892577e-13	0.0040203165159037645	0.1638519900402741	4.64730678673045e-10	1.2131318625695484e-05	4.7420708807507205e-08	0.0003604550300671892	3.852032980738427e-06	2.4248927942875506e-05	5.028738109013295e-05	7.497270631918051e-11
peak.35	1.8636539121418279	9.157797222208022e-06	0.002298388503868388	2.235682928379262e-14	4.5473638761225734e-14	5.056689581139098e-14	3.395245448811257e-24	0.0154826681632841	8.316509618662375e-05	2.321266620599857e-08	3.5231536725561056e-08	9.001955046255013e-14	0.00014295343979894973	4.03554204606295e-07	2.2341385897397338e-05	3.940670889855839e-07	1.705047943584097e-09
peak.36	3.6427191933990826	0.00022017646908076288	0.05616902164375505	3.197839649174974e-10	0.0003323500268439528	6.419956869703014e-10	2.574531451717235e-11	0.0003165512689288873	0.016878590315357166	1.3965005829165014e-06	0.3666662642563134	4.604700385519266e-09	0.0051706487638424415	9.379851007016424e-06	0.00014013081020649397	1.0264318885864863	0.04921808859589524
